age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,has_left
50,M,13973,Marié(e),Consulting,Tech Lead,3,80,22,12,11,4,3,4,3,4,3,3,Oui,18 %,1,2,1,1005,24,3,Infra & Cloud,Y,Occasionnel,1,5,0
38,M,2684,Marié(e),Consulting,Assistant de Direction,0,80,3,2,1,3,3,1,3,2,2,3,Non,17 %,1,0,1,1006,10,1,Transformation Digitale,Y,Frequent,0,2,0
46,M,10845,Divorcé(e),Consulting,Tech Lead,6,80,13,8,7,4,3,3,3,2,3,3,Non,13 %,1,3,1,1007,7,2,Transformation Digitale,Y,Occasionnel,0,7,0
24,F,4377,Divorcé(e),Consulting,Tech Lead,1,80,5,4,2,4,2,2,3,2,3,3,Non,15 %,2,6,1,1009,17,1,Transformation Digitale,Y,Occasionnel,3,2,0
35,M,3743,Divorcé(e),Consulting,Consultant,1,80,5,4,2,3,2,1,2,4,1,4,Oui,24 %,1,2,1,1010,14,4,Autre,Y,Occasionnel,0,2,1
31,F,4148,Marié(e),Consulting,Tech Lead,1,80,4,4,3,3,3,2,1,3,3,3,Non,12 %,1,1,1,1011,1,1,Infra & Cloud,Y,Frequent,0,3,0
18,M,1051,Célibataire,Consulting,Assistant de Direction,1,80,0,0,0,2,3,1,4,4,3,3,Non,15 %,0,2,1,1012,5,2,Infra & Cloud,Y,Aucun,0,0,0
54,F,10739,Marié(e),Consulting,Tech Lead,8,80,22,10,7,3,3,3,3,3,3,3,Non,11 %,1,2,1,1013,17,3,Entrepreunariat,Y,Occasionnel,0,8,0
35,F,10388,Divorcé(e),Consulting,Manager,1,80,16,16,10,3,3,3,3,3,2,3,Oui,11 %,1,3,1,1014,25,4,Transformation Digitale,Y,Occasionnel,10,1,0
30,F,11416,Marié(e),Consulting,Directeur Technique,0,80,9,8,7,2,4,3,1,3,2,3,Oui,12 %,3,4,1,1015,8,2,Infra & Cloud,Y,Occasionnel,1,7,0
20,F,2600,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0,4,2,1,1,1,3,3,Oui,15 %,0,2,1,1016,11,3,Transformation Digitale,Y,Occasionnel,0,0,1
30,F,2422,Célibataire,Consulting,Consultant,0,80,4,3,2,2,3,1,2,1,3,3,Non,17 %,0,3,1,1017,5,3,Transformation Digitale,Y,Frequent,1,2,1
26,M,5472,Marié(e),Consulting,Tech Lead,1,80,8,8,7,4,4,2,4,2,3,3,Non,12 %,0,2,1,1018,2,2,Transformation Digitale,Y,Occasionnel,1,3,0
22,M,2451,Marié(e),Consulting,Consultant,1,80,4,4,3,2,1,1,1,1,2,3,Non,15 %,1,3,1,1019,8,1,Infra & Cloud,Y,Occasionnel,1,1,0
48,M,4240,Célibataire,Consulting,Manager,2,80,19,2,2,1,2,2,3,4,3,3,Non,13 %,0,0,1,1022,6,3,Infra & Cloud,Y,Occasionnel,2,2,0
48,M,10999,Célibataire,Consulting,Manager,7,80,27,15,11,3,2,3,3,2,3,3,Non,14 %,0,3,1,1024,4,4,Infra & Cloud,Y,Occasionnel,4,8,0
41,F,5003,Célibataire,Consulting,Tech Lead,6,80,8,2,2,4,3,2,3,2,3,3,Non,14 %,0,6,1,1025,7,2,Transformation Digitale,Y,Occasionnel,2,1,0
39,F,12742,Marié(e),Consulting,Tech Lead,1,80,21,21,6,4,2,4,4,3,3,3,Non,16 %,1,3,1,1026,1,1,Infra & Cloud,Y,Occasionnel,11,8,0
27,F,4227,Marié(e),Consulting,Tech Lead,0,80,4,3,2,1,3,2,4,2,3,3,Non,18 %,1,2,1,1027,2,4,Infra & Cloud,Y,Occasionnel,2,2,0
35,M,3917,Divorcé(e),Consulting,Consultant,1,80,3,3,2,2,3,1,4,1,2,4,Non,20 %,1,4,1,1028,10,3,Autre,Y,Occasionnel,1,2,0
42,M,18303,Marié(e),Commercial,Senior Manager,6,80,21,1,0,4,3,5,3,2,4,3,Non,13 %,0,3,1,1029,5,2,Marketing,Y,Occasionnel,0,0,0
50,M,2380,Marié(e),Consulting,Consultant,4,80,8,1,0,1,3,1,4,2,3,3,Non,18 %,0,5,1,1030,9,3,Infra & Cloud,Y,Occasionnel,0,0,0
59,F,13726,Célibataire,Consulting,Tech Lead,3,80,30,5,3,3,2,4,4,1,3,3,Oui,13 %,0,4,1,1032,2,3,Infra & Cloud,Y,Occasionnel,4,3,0
37,F,4777,Marié(e),Consulting,Manager,5,80,15,1,0,1,1,2,2,1,1,3,Non,15 %,0,2,1,1033,11,2,Transformation Digitale,Y,Occasionnel,0,0,1
55,M,6385,Marié(e),Consulting,Manager,3,80,17,8,7,3,3,2,2,4,3,3,Oui,14 %,2,3,1,1034,18,4,Transformation Digitale,Y,Frequent,6,7,0
41,F,19973,Divorcé(e),Consulting,Directeur Technique,1,80,21,21,16,2,1,5,3,2,3,4,Non,22 %,2,3,1,1035,7,1,Infra & Cloud,Y,Aucun,5,10,0
38,M,6861,Célibataire,Commercial,Cadre Commercial,8,80,19,1,0,2,3,2,4,3,3,3,Oui,12 %,0,1,1,1036,3,4,Infra & Cloud,Y,Occasionnel,0,0,0
26,M,4969,Célibataire,Commercial,Cadre Commercial,8,80,7,2,2,2,1,2,1,4,3,3,Non,18 %,0,6,1,1037,29,2,Transformation Digitale,Y,Aucun,2,2,1
52,F,19845,Marié(e),Commercial,Senior Manager,1,80,33,32,14,1,1,5,4,4,3,3,Non,15 %,1,3,1,1038,2,1,Marketing,Y,Occasionnel,6,9,1
44,F,13320,Marié(e),Commercial,Cadre Commercial,3,80,23,12,11,4,4,4,4,3,3,3,Oui,18 %,1,2,1,1039,28,3,Transformation Digitale,Y,Occasionnel,11,11,0
50,F,6347,Marié(e),Commercial,Cadre Commercial,0,80,19,18,7,4,3,2,3,1,3,3,Non,12 %,1,3,1,1040,1,3,Infra & Cloud,Y,Aucun,0,13,0
36,F,2743,Célibataire,Consulting,Consultant,1,80,18,17,13,3,4,1,1,3,3,3,Non,16 %,0,1,1,1042,16,4,Infra & Cloud,Y,Occasionnel,15,14,1
39,F,10880,Célibataire,Consulting,Tech Lead,1,80,21,21,6,4,3,3,1,3,3,3,Oui,13 %,0,2,1,1043,22,3,Transformation Digitale,Y,Frequent,2,8,0
33,F,2342,Célibataire,Commercial,Représentant Commercial,0,80,3,2,2,2,2,1,4,4,2,3,Non,19 %,0,2,1,1044,8,1,Infra & Cloud,Y,Aucun,2,2,0
45,F,17650,Marié(e),Commercial,Senior Manager,3,80,26,9,3,4,3,4,4,2,4,3,Non,13 %,1,4,1,1045,11,2,Infra & Cloud,Y,Occasionnel,1,1,0
32,F,4025,Célibataire,Consulting,Consultant,9,80,10,8,7,4,3,1,3,2,3,3,Non,12 %,0,2,1,1046,29,4,Transformation Digitale,Y,Aucun,7,7,0
34,M,9725,Divorcé(e),Commercial,Cadre Commercial,0,80,16,15,1,2,4,2,4,4,2,3,Non,11 %,1,2,1,1047,1,4,Marketing,Y,Occasionnel,0,9,0
59,M,11904,Marié(e),Commercial,Senior Manager,3,80,14,6,4,2,3,3,4,3,1,3,Oui,14 %,1,1,1,1048,1,2,Entrepreunariat,Y,Occasionnel,0,4,0
45,M,2177,Célibataire,Ressources Humaines,Ressources Humaines,1,80,6,6,3,2,3,1,2,1,3,3,Non,16 %,0,3,1,1049,24,4,Transformation Digitale,Y,Occasionnel,0,4,0
53,F,7525,Marié(e),Commercial,Cadre Commercial,2,80,30,15,7,3,2,3,2,1,3,3,Non,12 %,1,2,1,1050,2,3,Marketing,Y,Frequent,6,12,0
36,M,4834,Divorcé(e),Consulting,Consultant,7,80,9,1,0,1,3,2,3,2,2,3,Non,14 %,1,3,1,1052,15,3,Autre,Y,Occasionnel,0,0,1
26,M,2042,Marié(e),Consulting,Assistant de Direction,6,80,6,3,2,1,3,1,1,2,3,3,Oui,14 %,1,2,1,1053,2,3,Infra & Cloud,Y,Frequent,1,2,1
34,F,2220,Marié(e),Commercial,Représentant Commercial,1,80,1,1,1,3,3,1,3,4,3,3,Oui,19 %,1,2,1,1055,10,4,Infra & Cloud,Y,Occasionnel,0,0,0
28,M,1052,Marié(e),Commercial,Représentant Commercial,1,80,1,1,0,4,3,1,2,2,3,4,Non,22 %,0,5,1,1056,10,1,Transformation Digitale,Y,Occasionnel,0,0,0
38,M,2821,Marié(e),Consulting,Assistant de Direction,3,80,8,2,2,3,3,1,3,1,3,3,Non,16 %,1,2,1,1060,3,4,Autre,Y,Frequent,2,2,0
50,M,19237,Marié(e),Consulting,Directeur Technique,2,80,29,8,1,2,3,5,3,4,2,3,Oui,11 %,1,2,1,1061,2,4,Transformation Digitale,Y,Occasionnel,7,7,0
37,F,4107,Célibataire,Consulting,Manager,3,80,8,4,3,4,3,2,2,1,2,3,Non,15 %,0,3,1,1062,3,3,Autre,Y,Occasionnel,0,1,0
40,M,8396,Marié(e),Commercial,Cadre Commercial,1,80,8,7,7,3,3,2,1,2,2,3,Non,14 %,1,3,1,1066,26,3,Marketing,Y,Occasionnel,7,5,0
26,F,2007,Divorcé(e),Consulting,Assistant de Direction,1,80,5,5,3,1,2,1,3,3,3,3,Non,13 %,2,5,1,1068,1,1,Transformation Digitale,Y,Frequent,1,3,0
46,M,19627,Divorcé(e),Consulting,Directeur Technique,9,80,23,2,2,4,3,5,4,4,3,3,Non,17 %,2,0,1,1069,1,4,Transformation Digitale,Y,Occasionnel,2,2,0
54,F,10686,Marié(e),Commercial,Cadre Commercial,6,80,13,9,4,3,2,3,3,2,3,3,Non,11 %,1,4,1,1070,2,4,Infra & Cloud,Y,Occasionnel,7,0,0
56,F,2942,Marié(e),Consulting,Assistant de Direction,2,80,18,5,4,1,3,1,3,2,3,3,Non,19 %,1,4,1,1071,9,3,Transformation Digitale,Y,Frequent,0,3,0
36,F,8858,Célibataire,Consulting,Tech Lead,0,80,15,14,8,4,2,3,4,2,2,3,Non,11 %,0,2,1,1073,12,5,Transformation Digitale,Y,Occasionnel,7,8,0
55,M,16756,Célibataire,Consulting,Senior Manager,7,80,31,9,7,3,2,4,1,2,4,3,Non,15 %,0,3,1,1074,2,1,Transformation Digitale,Y,Aucun,6,2,0
43,M,10798,Divorcé(e),Commercial,Cadre Commercial,5,80,18,1,0,3,2,3,4,3,3,3,Non,13 %,1,5,1,1076,25,3,Transformation Digitale,Y,Occasionnel,0,0,0
20,F,2323,Célibataire,Commercial,Représentant Commercial,1,80,2,2,2,4,3,1,4,2,3,3,Oui,14 %,0,3,1,1077,9,3,Marketing,Y,Frequent,0,2,1
21,F,1416,Célibataire,Consulting,Consultant,1,80,1,1,0,3,2,1,1,1,2,3,Non,13 %,0,6,1,1079,10,3,Infra & Cloud,Y,Occasionnel,1,0,1
46,F,4615,Divorcé(e),Consulting,Assistant de Direction,8,80,19,16,13,4,2,2,1,1,3,4,Oui,23 %,3,2,1,1080,8,4,Infra & Cloud,Y,Occasionnel,1,7,0
51,M,2461,Marié(e),Consulting,Assistant de Direction,9,80,18,10,0,1,3,1,3,3,4,3,Oui,12 %,3,2,1,1081,4,4,Infra & Cloud,Y,Occasionnel,2,7,1
28,M,8722,Célibataire,Consulting,Manager,1,80,10,10,7,2,2,3,1,1,2,3,Non,12 %,0,2,1,1082,24,2,Entrepreunariat,Y,Aucun,1,9,1
26,M,3955,Marié(e),Consulting,Consultant,1,80,6,5,3,1,2,1,1,1,3,3,Non,16 %,2,2,1,1083,1,2,Transformation Digitale,Y,Occasionnel,1,3,0
30,M,9957,Marié(e),Consulting,Tech Lead,0,80,7,6,2,3,3,2,1,3,2,3,Non,15 %,1,1,1,1084,20,3,Autre,Y,Occasionnel,0,2,0
41,F,3376,Marié(e),Consulting,Assistant de Direction,1,80,10,10,6,2,4,1,3,3,3,3,Non,13 %,0,3,1,1085,7,2,Entrepreunariat,Y,Occasionnel,0,8,0
38,F,8823,Marié(e),Consulting,Manager,0,80,20,19,9,3,2,3,3,1,2,3,Non,18 %,1,4,1,1088,17,1,Infra & Cloud,Y,Occasionnel,1,9,0
40,M,10322,Marié(e),Consulting,Manager,4,80,14,11,10,1,3,3,4,4,3,4,Non,20 %,1,6,1,1092,20,4,Entrepreunariat,Y,Occasionnel,11,1,0
27,M,4621,Marié(e),Consulting,Consultant,1,80,3,3,2,1,1,1,3,4,3,3,Non,19 %,3,4,1,1094,8,5,Infra & Cloud,Y,Aucun,1,2,0
55,M,10976,Marié(e),Consulting,Tech Lead,3,80,23,3,2,4,3,3,2,2,3,3,Non,18 %,1,4,1,1096,2,1,Infra & Cloud,Y,Frequent,1,2,0
28,F,3660,Célibataire,Consulting,Assistant de Direction,3,80,10,8,7,3,3,2,3,4,4,3,Non,13 %,0,4,1,1097,10,3,Autre,Y,Occasionnel,1,7,0
44,M,10482,Marié(e),Ressources Humaines,Ressources Humaines,9,80,24,20,6,2,2,3,1,4,3,3,Non,14 %,1,1,1,1098,1,2,Transformation Digitale,Y,Occasionnel,3,6,1
33,M,7119,Divorcé(e),Consulting,Manager,4,80,9,3,2,4,2,3,4,3,3,3,Non,15 %,1,2,1,1099,5,3,Infra & Cloud,Y,Occasionnel,1,2,0
35,M,9582,Célibataire,Commercial,Cadre Commercial,0,80,9,8,7,4,3,3,1,1,3,4,Oui,22 %,0,2,1,1100,4,3,Entrepreunariat,Y,Occasionnel,4,7,1
33,F,4508,Célibataire,Consulting,Assistant de Direction,1,80,14,13,7,1,2,2,3,2,3,4,Non,22 %,0,4,1,1101,29,4,Transformation Digitale,Y,Frequent,3,8,1
28,M,2207,Divorcé(e),Consulting,Consultant,1,80,4,4,2,1,3,1,3,4,2,3,Non,16 %,1,5,1,1102,15,2,Infra & Cloud,Y,Occasionnel,2,2,0
34,M,7756,Célibataire,Consulting,Manager,0,80,7,6,2,1,3,2,4,3,2,3,Non,17 %,0,1,1,1103,3,1,Infra & Cloud,Y,Frequent,0,4,0
37,F,6694,Divorcé(e),Commercial,Cadre Commercial,2,80,8,1,0,4,2,2,4,3,3,3,Oui,14 %,3,5,1,1105,10,4,Infra & Cloud,Y,Occasionnel,0,0,0
25,M,3691,Marié(e),Consulting,Consultant,1,80,7,7,7,4,3,1,4,2,4,3,Oui,15 %,1,3,1,1106,4,1,Entrepreunariat,Y,Occasionnel,5,6,1
26,M,2377,Divorcé(e),Consulting,Consultant,1,80,1,1,1,1,3,1,3,3,2,4,Non,20 %,1,0,1,1107,21,3,Transformation Digitale,Y,Occasionnel,0,0,1
33,M,2313,Célibataire,Consulting,Assistant de Direction,4,80,5,2,2,1,2,1,2,2,3,4,Oui,20 %,0,0,1,1108,25,3,Transformation Digitale,Y,Occasionnel,2,2,1
42,M,17665,Marié(e),Consulting,Senior Manager,0,80,23,22,6,4,3,4,1,4,3,3,Non,17 %,1,3,1,1109,2,2,Transformation Digitale,Y,Occasionnel,13,7,0
28,M,2596,Divorcé(e),Consulting,Consultant,1,80,1,1,0,1,2,1,2,1,3,3,Non,15 %,2,2,1,1111,1,3,Transformation Digitale,Y,Frequent,0,0,1
50,M,4728,Célibataire,Commercial,Cadre Commercial,3,80,5,0,0,4,3,2,3,4,3,3,Oui,14 %,0,4,1,1113,1,4,Autre,Y,Frequent,0,0,1
33,F,4302,Marié(e),Commercial,Cadre Commercial,0,80,4,3,2,4,3,2,2,3,3,3,Non,17 %,1,3,1,1114,7,3,Infra & Cloud,Y,Frequent,0,2,0
34,M,2979,Marié(e),Consulting,Assistant de Direction,3,80,6,0,0,3,2,1,4,4,3,3,Non,17 %,3,2,1,1115,3,4,Infra & Cloud,Y,Aucun,0,0,0
48,M,16885,Célibataire,Consulting,Senior Manager,2,80,27,5,4,1,4,4,4,3,2,4,Non,22 %,0,3,1,1116,1,4,Transformation Digitale,Y,Aucun,2,1,0
45,F,5593,Marié(e),Commercial,Cadre Commercial,1,80,15,15,10,2,2,2,3,4,3,3,Non,13 %,1,2,1,1117,9,4,Infra & Cloud,Y,Aucun,4,12,0
52,M,10445,Célibataire,Consulting,Manager,7,80,18,8,6,2,3,3,2,4,3,3,Non,19 %,0,4,1,1118,7,4,Infra & Cloud,Y,Occasionnel,4,0,0
38,M,8740,Divorcé(e),Commercial,Cadre Commercial,0,80,9,8,7,3,2,3,3,2,3,3,Oui,14 %,2,2,1,1119,10,4,Marketing,Y,Occasionnel,2,7,0
29,F,2514,Divorcé(e),Consulting,Assistant de Direction,4,80,11,7,5,3,3,1,4,1,3,4,Non,22 %,1,1,1,1120,28,4,Infra & Cloud,Y,Occasionnel,1,7,0
28,F,7655,Divorcé(e),Consulting,Tech Lead,0,80,10,9,7,4,3,3,2,2,2,3,Non,17 %,3,3,1,1121,3,3,Transformation Digitale,Y,Occasionnel,1,7,0
46,M,17465,Marié(e),Commercial,Senior Manager,3,80,23,12,9,1,3,4,3,4,3,3,Non,12 %,1,3,1,1124,3,1,Marketing,Y,Occasionnel,4,9,0
38,M,7351,Célibataire,Commercial,Cadre Commercial,7,80,10,1,0,4,3,3,2,3,3,3,Non,16 %,0,2,1,1125,2,2,Marketing,Y,Occasionnel,0,0,0
43,F,10820,Marié(e),Consulting,Tech Lead,8,80,18,8,7,3,3,3,1,3,3,3,Non,11 %,1,1,1,1126,27,3,Infra & Cloud,Y,Frequent,0,1,0
39,M,12169,Divorcé(e),Consulting,Manager,7,80,21,18,7,1,3,4,4,4,3,3,Non,11 %,3,4,1,1127,2,3,Infra & Cloud,Y,Frequent,11,5,1
40,M,19626,Célibataire,Consulting,Directeur Technique,1,80,21,20,7,3,2,5,3,1,4,3,Non,14 %,0,2,1,1128,14,3,Transformation Digitale,Y,Occasionnel,4,9,0
21,F,2070,Célibataire,Consulting,Assistant de Direction,1,80,2,2,2,4,2,1,2,3,4,3,Oui,11 %,0,6,1,1131,1,1,Entrepreunariat,Y,Occasionnel,2,2,0
39,M,6782,Célibataire,Consulting,Consultant,9,80,9,5,4,3,3,2,2,3,2,3,Non,15 %,0,2,1,1132,9,3,Infra & Cloud,Y,Aucun,0,3,0
36,M,7779,Célibataire,Consulting,Tech Lead,2,80,18,11,9,1,3,2,4,1,3,4,Non,20 %,0,0,1,1133,18,4,Infra & Cloud,Y,Aucun,0,9,0
31,M,2791,Marié(e),Commercial,Représentant Commercial,0,80,3,2,2,3,4,1,4,1,3,3,Non,12 %,1,4,1,1135,20,3,Infra & Cloud,Y,Frequent,2,2,0
28,M,3201,Marié(e),Consulting,Assistant de Direction,0,80,6,5,3,1,2,1,2,1,1,3,Non,17 %,0,2,1,1136,2,1,Infra & Cloud,Y,Occasionnel,0,4,0
35,M,4968,Divorcé(e),Commercial,Cadre Commercial,1,80,5,5,2,4,3,2,4,4,3,3,Non,11 %,1,3,1,1137,11,2,Marketing,Y,Frequent,0,2,0
49,M,13120,Marié(e),Commercial,Cadre Commercial,6,80,22,9,8,4,2,4,2,2,3,3,Non,17 %,1,3,1,1138,8,4,Entrepreunariat,Y,Occasionnel,2,3,0
34,M,4033,Célibataire,Consulting,Tech Lead,2,80,5,3,2,4,3,2,3,4,2,3,Non,11 %,0,3,1,1140,2,2,Infra & Cloud,Y,Frequent,0,2,0
29,F,3291,Divorcé(e),Consulting,Assistant de Direction,0,80,8,7,5,4,3,1,2,4,2,3,Non,14 %,2,2,1,1143,10,3,Infra & Cloud,Y,Frequent,1,1,0
42,M,4272,Célibataire,Consulting,Consultant,4,80,16,1,0,2,1,2,4,1,3,3,Non,19 %,0,3,1,1148,29,3,Transformation Digitale,Y,Occasionnel,0,0,0
29,M,5056,Marié(e),Consulting,Tech Lead,1,80,10,10,7,2,2,2,4,3,2,3,Oui,15 %,1,2,1,1150,8,1,Transformation Digitale,Y,Occasionnel,1,2,0
38,M,2844,Marié(e),Ressources Humaines,Ressources Humaines,1,80,7,7,6,3,4,1,3,4,4,3,Non,13 %,1,2,1,1152,1,3,Ressources Humaines,Y,Occasionnel,5,0,0
28,M,2703,Divorcé(e),Consulting,Assistant de Direction,1,80,3,3,1,3,2,1,3,4,3,3,Oui,14 %,1,2,1,1154,6,3,Infra & Cloud,Y,Frequent,0,2,0
18,M,1904,Célibataire,Consulting,Consultant,1,80,0,0,0,3,3,1,3,4,3,3,Non,12 %,0,0,1,1156,8,1,Transformation Digitale,Y,Aucun,0,0,1
33,F,8224,Célibataire,Commercial,Cadre Commercial,0,80,6,5,2,1,3,2,1,1,3,3,Oui,17 %,0,3,1,1157,9,4,Marketing,Y,Occasionnel,0,3,1
41,M,4766,Marié(e),Consulting,Consultant,3,80,6,1,0,2,3,1,4,1,3,3,Oui,11 %,1,4,1,1158,12,4,Infra & Cloud,Y,Occasionnel,0,0,0
31,M,2610,Marié(e),Consulting,Consultant,1,80,2,2,2,3,3,1,3,3,2,3,Non,12 %,1,5,1,1160,15,3,Transformation Digitale,Y,Frequent,2,2,1
37,F,5731,Divorcé(e),Consulting,Manager,7,80,9,6,2,3,2,2,4,3,3,3,Non,13 %,2,2,1,1161,25,2,Transformation Digitale,Y,Occasionnel,1,3,0
27,M,2539,Marié(e),Consulting,Assistant de Direction,1,80,4,4,2,4,2,1,3,3,3,3,Non,13 %,1,0,1,1162,6,3,Infra & Cloud,Y,Occasionnel,2,2,0
34,F,5714,Marié(e),Commercial,Cadre Commercial,1,80,6,6,5,2,3,2,3,1,2,4,Non,20 %,0,3,1,1163,9,1,Infra & Cloud,Y,Occasionnel,1,3,0
35,M,4323,Célibataire,Ressources Humaines,Ressources Humaines,1,80,6,5,4,3,3,1,3,2,1,3,Non,17 %,0,2,1,1164,8,4,Entrepreunariat,Y,Occasionnel,1,4,0
29,F,7336,Marié(e),Commercial,Cadre Commercial,1,80,11,11,8,4,2,3,1,1,1,3,Non,13 %,1,3,1,1165,23,1,Infra & Cloud,Y,Occasionnel,3,10,1
40,F,13499,Célibataire,Consulting,Directeur Technique,9,80,20,18,7,2,3,3,3,3,2,3,Non,17 %,0,3,1,1166,9,4,Transformation Digitale,Y,Frequent,2,13,0
42,M,13758,Célibataire,Commercial,Cadre Commercial,0,80,22,21,9,3,3,4,1,2,2,3,Oui,12 %,0,2,1,1167,12,3,Infra & Cloud,Y,Frequent,13,14,1
42,M,5155,Célibataire,Commercial,Cadre Commercial,7,80,9,6,4,2,3,2,1,4,4,3,Non,13 %,0,3,1,1171,4,4,Marketing,Y,Occasionnel,1,5,0
35,M,2258,Marié(e),Consulting,Consultant,6,80,10,8,0,4,2,1,3,2,3,3,Non,12 %,1,2,1,1172,1,4,Transformation Digitale,Y,Occasionnel,1,7,0
24,M,3597,Célibataire,Consulting,Consultant,8,80,6,4,3,4,3,1,2,4,3,4,Non,22 %,0,2,1,1173,24,3,Transformation Digitale,Y,Occasionnel,1,2,0
28,F,2515,Marié(e),Consulting,Consultant,1,80,1,1,1,3,3,1,4,4,2,3,Oui,11 %,0,4,1,1175,12,1,Infra & Cloud,Y,Occasionnel,0,0,1
26,M,4420,Marié(e),Consulting,Consultant,1,80,8,8,7,1,4,1,4,2,3,4,Non,22 %,1,2,1,1177,3,4,Transformation Digitale,Y,Occasionnel,0,7,0
30,M,6578,Marié(e),Commercial,Cadre Commercial,1,80,10,10,3,3,2,2,3,1,3,3,Non,18 %,1,3,1,1179,10,3,Marketing,Y,Occasionnel,1,4,0
40,F,4422,Marié(e),Consulting,Assistant de Direction,3,80,16,1,1,3,2,2,4,4,1,3,Oui,13 %,1,3,1,1180,26,2,Transformation Digitale,Y,Frequent,0,0,0
35,M,10274,Divorcé(e),Consulting,Tech Lead,2,80,15,7,7,3,2,3,2,2,4,3,Non,18 %,1,2,1,1182,2,3,Infra & Cloud,Y,Occasionnel,6,4,0
34,M,5343,Célibataire,Consulting,Manager,0,80,14,13,9,4,2,2,1,3,3,4,Non,20 %,0,3,1,1184,1,3,Transformation Digitale,Y,Frequent,4,9,0
35,M,2376,Marié(e),Consulting,Consultant,1,80,2,2,2,4,2,1,4,2,4,3,Non,13 %,1,2,1,1185,4,4,Autre,Y,Frequent,2,2,0
43,F,5346,Célibataire,Commercial,Cadre Commercial,8,80,7,4,3,1,1,2,3,2,2,3,Non,13 %,0,2,1,1188,9,3,Marketing,Y,Occasionnel,1,3,1
32,F,2827,Divorcé(e),Commercial,Représentant Commercial,1,80,1,1,0,3,3,1,1,3,3,3,Non,12 %,3,3,1,1190,2,1,Infra & Cloud,Y,Aucun,0,0,0
56,F,19943,Divorcé(e),Consulting,Senior Manager,4,80,28,5,2,4,3,5,1,4,3,3,Non,13 %,1,2,1,1191,4,4,Entrepreunariat,Y,Occasionnel,4,2,0
29,F,3131,Marié(e),Consulting,Consultant,1,80,10,10,8,2,3,1,4,1,3,3,Non,13 %,1,5,1,1192,6,1,Transformation Digitale,Y,Occasionnel,0,8,0
19,M,2552,Célibataire,Consulting,Assistant de Direction,1,80,1,1,1,3,3,1,1,3,3,4,Non,25 %,0,4,1,1193,9,2,Infra & Cloud,Y,Occasionnel,0,0,0
45,F,4477,Marié(e),Consulting,Assistant de Direction,4,80,7,3,2,1,3,1,3,3,2,3,Oui,19 %,1,2,1,1195,7,3,Transformation Digitale,Y,Occasionnel,0,2,0
37,F,6474,Marié(e),Consulting,Tech Lead,1,80,14,14,8,4,2,2,4,2,2,3,Non,13 %,1,2,1,1196,1,3,Infra & Cloud,Y,Occasionnel,3,11,0
20,M,3033,Célibataire,Consulting,Consultant,1,80,2,2,2,1,2,1,3,1,2,3,Non,12 %,0,2,1,1198,3,3,Infra & Cloud,Y,Occasionnel,1,2,0
44,M,2936,Célibataire,Consulting,Assistant de Direction,1,80,6,6,4,3,3,1,3,3,3,3,Oui,11 %,0,4,1,1200,10,4,Infra & Cloud,Y,Occasionnel,0,2,1
53,F,18606,Divorcé(e),Consulting,Senior Manager,3,80,26,7,7,4,3,5,3,2,3,3,Non,18 %,1,6,1,1201,7,2,Transformation Digitale,Y,Occasionnel,4,7,0
29,F,2168,Marié(e),Consulting,Assistant de Direction,0,80,6,5,4,2,1,1,4,1,2,3,Oui,18 %,1,2,1,1202,15,1,Infra & Cloud,Y,Occasionnel,1,3,0
22,M,2853,Marié(e),Consulting,Assistant de Direction,0,80,1,0,0,3,2,1,4,2,3,3,Oui,11 %,1,5,1,1203,3,4,Infra & Cloud,Y,Frequent,0,0,1
46,F,17048,Marié(e),Commercial,Senior Manager,8,80,28,26,15,3,3,4,1,1,3,4,Non,23 %,0,2,1,1204,2,3,Marketing,Y,Occasionnel,15,9,0
44,M,2290,Célibataire,Consulting,Assistant de Direction,2,80,6,0,0,4,1,1,3,4,3,3,Non,13 %,0,3,1,1206,17,3,Infra & Cloud,Y,Aucun,0,0,0
33,M,3600,Marié(e),Ressources Humaines,Ressources Humaines,1,80,5,5,4,2,3,1,3,4,3,3,Non,13 %,1,2,1,1207,2,3,Ressources Humaines,Y,Occasionnel,1,4,0
41,M,2107,Divorcé(e),Consulting,Assistant de Direction,6,80,5,1,0,1,2,1,1,1,1,3,Non,17 %,1,2,1,1210,5,2,Infra & Cloud,Y,Aucun,0,0,1
30,M,4115,Divorcé(e),Commercial,Cadre Commercial,8,80,8,4,3,3,3,2,1,3,3,3,Non,19 %,3,3,1,1211,29,4,Infra & Cloud,Y,Occasionnel,0,3,0
40,M,4327,Marié(e),Commercial,Cadre Commercial,5,80,5,0,0,2,3,2,2,4,3,3,Non,12 %,3,2,1,1212,2,4,Transformation Digitale,Y,Frequent,0,0,0
